name_aoe2api,language_name_aoe2techtree,ID_aoe2api,language_name_id_aoe2techtree,match_score
Stable,Stable,19,5171,100
Blacksmith,Blacksmith,12,5131,100
Monastery,Monastery,31,5138,100
Stone Wall,Stone Wall,54,5203,100
Town Center,Town Center,9,5164,100
Fortified Wall,Fortified Wall,56,5204,100
Barracks,Barracks,1,5135,100
House,House,5,5344,100
Town Center,Town Center,9,5164,100
Bombard Tower,Bombard Tower,58,5156,100
Wonder,Wonder,50,5182,100
Keep,Keep,59,5155,100
Guard Tower,Guard Tower,57,5154,100
University,University,35,5176,100
Fish Trap,Fish Trap,4,5495,100
Dock,Dock,2,5144,100
Town Center,Town Center,9,5164,100
Outpost,Outpost,51,5504,100
Mining Camp,Mining Camp,8,5487,100
Lumber Camp,Lumber Camp,6,5464,100
Farm,Farm,3,5149,100
Siege Workshop,Siege Workshop,32,5169,100
Gate,Gate,53,5185,100
Market,Market,16,5161,100
Castle,Castle,24,5142,100
Palisade Wall,Palisade Wall,52,5202,100
Watch Tower,Watch Tower,55,5178,100
Archery Range,Archery Range,10,5128,100
Mill,Mill,7,5157,100
Gate,Palisade Gate,53,5186,90
Fortified Wall,Fortified Church,56,5038,74
Keep,Krepost,59,5349,68
Castle,Pasture,24,5895,62
Fish Trap,Feitoria,4,5159,59
Farm,Folwark,3,5581,55
Castle,Mule Cart,24,5045,54
Guard Tower,Harbor,57,5249,47
Dock,Donjon,2,5544,45
Barracks,Caravanserai,1,5440,45
