id,internal_name,language_name_id,language_name,name_aoe2api,language_name_aoe2techtree,ID_aoe2api,language_name_id_aoe2techtree,match_score
101,STBL,5171,Stable,Stable,Stable,19,5171,100
1021,FEITO,5159,Feitoria,Fish Trap,Feitoria,4,5159,59
103,BLAC,5131,Blacksmith,Blacksmith,Blacksmith,12,5131,100
104,CRCH,5138,Monastery,Monastery,Monastery,31,5138,100
109,RTWC,5164,Town Center,Town Center,Town Center,9,5164,100
109,RTWC,5164,Town Center,Town Center,Town Center,9,5164,100
109,RTWC,5164,Town Center,Town Center,Town Center,9,5164,100
117,WALL2,5203,Stone Wall,Stone Wall,Stone Wall,54,5203,100
1189,HARBOR,5249,Harbor,Guard Tower,Harbor,57,5249,47
1251,KREPOST,5349,Krepost,Keep,Krepost,59,5349,68
12,Barracks Age1,5135,Barracks,Barracks,Barracks,1,5135,100
155,WALL3,5204,Fortified Wall,Fortified Wall,Fortified Wall,56,5204,100
1665,DONJON,5544,Donjon,Dock,Donjon,2,5544,45
1734,FOLWARK1,5581,Folwark,Farm,Folwark,3,5581,55
1754,CARAVANSERAI,5440,Caravanserai,Barracks,Caravanserai,1,5440,45
1806,FORTCRCH,5038,Fortified Church,Fortified Wall,Fortified Church,56,5038,74
1808,MULECART,5045,Mule Cart,Castle,Mule Cart,24,5045,54
1889,PASTURE_BUILD,5895,Pasture,Castle,Pasture,24,5895,62
199,FTRAP,5495,Fish Trap,Fish Trap,Fish Trap,4,5495,100
209,UNIV,5176,University,University,University,35,5176,100
234,WCTW2,5154,Guard Tower,Guard Tower,Guard Tower,57,5154,100
235,WCTW3,5155,Keep,Keep,Keep,59,5155,100
236,WCTW4,5156,Bombard Tower,Bombard Tower,Bombard Tower,58,5156,100
276,WNDR,5182,Wonder,Wonder,Wonder,50,5182,100
45,DOCK,5144,Dock,Dock,Dock,2,5144,100
487,GTAX2,5185,Gate,Gate,Gate,53,5185,100
49,SIWS,5169,Siege Workshop,Siege Workshop,Siege Workshop,32,5169,100
50,FARM,5149,Farm,Farm,Farm,3,5149,100
562,SMIL,5464,Lumber Camp,Lumber Camp,Lumber Camp,6,5464,100
584,MINE,5487,Mining Camp,Mining Camp,Mining Camp,8,5487,100
598,WCTWX,5504,Outpost,Outpost,Outpost,51,5504,100
621,RTWC1X,5164,Town Center,Town Center,Town Center,9,5164,100
621,RTWC1X,5164,Town Center,Town Center,Town Center,9,5164,100
621,RTWC1X,5164,Town Center,Town Center,Town Center,9,5164,100
68,MILL,5157,Mill,Mill,Mill,7,5157,100
70,HOUS,5344,House,House,House,5,5344,100
71,RTWC2,5164,Town Center,Town Center,Town Center,9,5164,100
71,RTWC2,5164,Town Center,Town Center,Town Center,9,5164,100
71,RTWC2,5164,Town Center,Town Center,Town Center,9,5164,100
72,WALL,5202,Palisade Wall,Palisade Wall,Palisade Wall,52,5202,100
792,PGTAX,5186,Palisade Gate,Gate,Palisade Gate,53,5186,90
79,WCTW,5178,Watch Tower,Watch Tower,Watch Tower,55,5178,100
82,CSTL,5142,Castle,Castle,Castle,24,5142,100
84,MRKT,5161,Market,Market,Market,16,5161,100
87,ARRG,5128,Archery Range,Archery Range,Archery Range,10,5128,100
