name_aoe2api,language_name,ID_aoe2api,id,match_score
Battering Ram,Battering Ram,54,1258,100.0
Mangudai,Mangudai,87,11,100.0
Karambit Warrior,Karambit Warrior,105,1123,100.0
Elite Karambit Warrior,Elite Karambit Warrior,106,1125,100.0
Pikeman,Pikeman,13,1787,100.0
Halberdier,Halberdier,14,1788,100.0
Spearman,Spearman,12,1786,100.0
Fishing Ship,Fishing Ship,35,13,100.0
Trade Cart,Trade Cart,47,128,100.0
Monk,Monk,49,125,100.0
Trade Cog,Trade Cog,36,17,100.0
Samurai,Samurai,91,291,100.0
Trebuchet,Trebuchet,22,331,100.0
Pikeman,Pikeman,13,358,100.0
Elite Skirmisher,Elite Skirmisher,8,6,100.0
Elite Berserk,Elite Berserk,70,694,100.0
Militia,Militia,15,74,100.0
Chu Ko Nu,Chu Ko Nu,73,73,100.0
Elite Jaguar Warrior,Elite Jaguar Warrior,80,726,100.0
Jaguar Warrior,Jaguar Warrior,79,725,100.0
Spearman,Spearman,12,93,100.0
Villager,Villager,68,83,100.0
Longbowman,Longbowman,83,8,100.0
Elite Turtle Ship,Elite Turtle Ship,39,832,100.0
Turtle Ship,Turtle Ship,38,831,100.0
War Wagon,War Wagon,101,827,100.0
Elite War Wagon,Elite War Wagon,102,829,100.0
Long Swordsman,Long Swordsman,17,77,100.0
Missionary,Missionary,48,775,100.0
Elite Conquistador,Elite Conquistador,76,773,100.0
Skirmisher,Skirmisher,7,7,100.0
Conquistador,Conquistador,75,771,100.0
Elite Plumed Archer,Elite Plumed Archer,90,765,100.0
Man-at-Arms,Man-at-Arms,16,75,100.0
Plumed Archer,Plumed Archer,89,763,100.0
Elite Tarkan,Elite Tarkan,94,757,100.0
Tarkan,Tarkan,93,755,100.0
Eagle Warrior,Eagle Warrior,9,753,100.0
Elite Eagle Warrior,Elite Eagle Warrior,11,752,100.0
Elite Longbowman,Elite Longbowman,84,530,100.0
Elite Throwing Axeman,Elite Throwing Axeman,98,531,100.0
Fast Fire Ship,Fast Fire Ship,29,532,100.0
Elite Longboat,Elite Longboat,34,533,100.0
Elite Woad Raider,Elite Woad Raider,104,534,100.0
Galley,Galley,30,539,100.0
Heavy Scorpion,Heavy Scorpion,58,542,100.0
Transport Ship,Transport Ship,37,545,100.0
Light Cavalry,Light Cavalry,66,546,100.0
Siege Ram,Siege Ram,56,548,100.0
Onager,Onager,52,550,100.0
Elite Cataphract,Elite Cataphract,72,553,100.0
Elite Teutonic Knight,Elite Teutonic Knight,96,554,100.0
Elite Huskarl,Elite Huskarl,78,555,100.0
Elite Mameluke,Elite Mameluke,86,556,100.0
Elite Janissary,Elite Janissary,82,557,100.0
Elite War Elephant,Elite War Elephant,100,558,100.0
Elite Chu Ko Nu,Elite Chu Ko Nu,74,559,100.0
Elite Samurai,Elite Samurai,92,560,100.0
Elite Mangudai,Elite Mangudai,88,561,100.0
Champion,Champion,19,567,100.0
Paladin,Paladin,63,569,100.0
Siege Onager,Siege Onager,53,588,100.0
Hand Cannoneer,Hand Cannoneer,6,5,100.0
Elite Cannon Galleon,Elite Cannon Galleon,25,691,100.0
Berserk,Berserk,69,692,100.0
Scout Cavalry,Scout Cavalry,64,448,100.0
Fire Ship,Fire Ship,28,529,100.0
Archer,Archer,1,4,100.0
