id,internal_name,language_name_id
101,STBL,5171
1021,FEITO,5159
103,BLAC,5131
104,CRCH,5138
109,RTWC,5164
117,WALL2,5203
1189,HARBOR,5249
1251,KREPOST,5349
12,"Barracks Age1",5135
155,WALL3,5204
1665,DONJON,5544
1734,FOLWARK1,5581
1754,CARAVANSERAI,5440
1806,FORTCRCH,5038
1808,MULECART,5045
1889,PASTURE_BUILD,5895
199,FTRAP,5495
209,UNIV,5176
234,WCTW2,5154
235,WCTW3,5155
236,WCTW4,5156
276,WNDR,5182
45,DOCK,5144
487,GTAX2,5185
49,SIWS,5169
50,FARM,5149
562,SMIL,5464
584,MINE,5487
598,WCTWX,5504
621,RTWC1X,5164
68,MILL,5157
70,HOUS,5344
71,RTWC2,5164
72,WALL,5202
792,PGTAX,5186
79,WCTW,5178
82,CSTL,5142
84,MRKT,5161
87,ARRG,5128
